CLASS,PERCENTAGE
vehicle,68.01282167434692
vehicle,68.46377849578857
vehicle,88.91302347183228
vehicle,34.821850061416626
vehicle,53.12504768371582
vehicle,58.57865810394287
vehicle,68.40713024139404
vehicle,77.1296739578247
vehicle,45.88969349861145
vehicle,65.89242815971375
vehicle,80.45716881752014
vehicle,53.94107699394226
vehicle,35.22420525550842
vehicle,58.918917179107666
vehicle,67.85540580749512
vehicle,76.45665407180786
vehicle,46.219268441200256
vehicle,67.11640954017639
vehicle,80.5909812450409
vehicle,54.18219566345215
vehicle,36.42638027667999
vehicle,58.91885757446289
vehicle,67.84626841545105
vehicle,76.44938826560974
vehicle,46.22323513031006
vehicle,67.11000204086304
vehicle,80.5608332157135
vehicle,54.183197021484375
vehicle,68.89417171478271
vehicle,79.33078408241272
vehicle,75.90932846069336
vehicle,69.42524909973145
vehicle,79.45618033409119
vehicle,76.50370597839355
vehicle,48.41385781764984
vehicle,53.385913372039795
vehicle,65.2329683303833
vehicle,59.8333477973938
vehicle,67.28070378303528
vehicle,74.3757426738739
vehicle,84.78866219520569
vehicle,48.13690483570099
vehicle,52.97386646270752
vehicle,65.05160331726074
vehicle,59.30614471435547
vehicle,67.51651763916016
vehicle,74.68249201774597
vehicle,84.93526577949524
vehicle,48.20267856121063
vehicle,53.00767421722412
vehicle,65.06713628768921
vehicle,59.174156188964844
vehicle,67.50928163528442
vehicle,74.6127188205719
vehicle,84.98834371566772
vehicle,58.63890051841736
vehicle,87.45821714401245
vehicle,89.39770460128784
vehicle,58.59233736991882
vehicle,87.60833144187927
vehicle,89.34406042098999
vehicle,58.527594804763794
vehicle,87.62672543525696
vehicle,89.38069939613342
vehicle,87.49610185623169
vehicle,48.40203821659088
vehicle,82.03195929527283
vehicle,87.52831220626831
vehicle,49.23402965068817
vehicle,82.34354853630066
vehicle,68.7804102897644
vehicle,75.84939002990723
vehicle,31.05795383453369
vehicle,59.650665521621704
vehicle,89.4176721572876
vehicle,77.13547945022583
vehicle,38.65298628807068
vehicle,68.84863376617432
vehicle,75.86756944656372
vehicle,59.64059829711914
vehicle,89.45515155792236
vehicle,77.25639939308167
vehicle,38.37021589279175
vehicle,69.27406787872314
vehicle,76.12874507904053
vehicle,30.624958872795105
vehicle,59.480684995651245
vehicle,89.47508335113525
vehicle,77.2578477859497
vehicle,37.96645700931549
vehicle,32.90269672870636
vehicle,43.717160820961
vehicle,32.42937922477722
vehicle,90.30636548995972
vehicle,79.69765663146973
vehicle,61.42221689224243
vehicle,47.55650758743286
vehicle,32.311880588531494
vehicle,90.3421401977539
vehicle,79.63734269142151
vehicle,61.655014753341675
vehicle,47.485941648483276
vehicle,32.31840133666992
vehicle,90.34094214439392
vehicle,79.54411506652832
vehicle,61.66014075279236
vehicle,59.918212890625
vehicle,87.08159327507019
vehicle,82.10362792015076
vehicle,84.18490290641785
vehicle,58.77838134765625
vehicle,87.06165552139282
vehicle,82.02917575836182
vehicle,84.16630029678345
vehicle,77.76482701301575
vehicle,32.82143175601959
vehicle,37.588560581207275
vehicle,83.1476092338562
vehicle,79.81989979743958
vehicle,31.146106123924255
vehicle,77.86793112754822
vehicle,32.37795531749725
vehicle,37.505051493644714
vehicle,83.18080306053162
vehicle,79.76559400558472
vehicle,30.891895294189453
vehicle,77.86994576454163
vehicle,32.37655460834503
vehicle,37.69644498825073
vehicle,83.175528049469
vehicle,79.7576904296875
vehicle,30.889329314231873
vehicle,69.21297907829285
vehicle,81.92800283432007
vehicle,39.60402309894562
vehicle,30.036380887031555
vehicle,31.32437765598297
vehicle,65.3465211391449
vehicle,84.7283124923706
vehicle,77.07467079162598
vehicle,59.83579754829407
vehicle,69.29159164428711
vehicle,82.12992548942566
vehicle,39.58810865879059
vehicle,31.463637948036194
vehicle,65.21664261817932
vehicle,84.68236327171326
vehicle,77.02968120574951
vehicle,60.67001223564148
vehicle,69.30151581764221
vehicle,82.05868601799011
vehicle,39.753514528274536
vehicle,30.00631332397461
vehicle,31.473129987716675
vehicle,66.09998941421509
vehicle,84.69403386116028
vehicle,76.85349583625793
vehicle,60.72109341621399
vehicle,74.56295490264893
vehicle,90.5330240726471
vehicle,35.03124713897705
vehicle,53.241050243377686
vehicle,82.64145851135254
vehicle,81.19838833808899
vehicle,40.00636339187622
vehicle,74.55881237983704
vehicle,90.52066802978516
vehicle,35.18382906913757
vehicle,53.07971239089966
vehicle,82.65641331672668
vehicle,81.11281991004944
vehicle,40.28375744819641
vehicle,37.829285860061646
vehicle,61.49510741233826
vehicle,62.6232385635376
vehicle,80.43954372406006
vehicle,81.98683261871338
vehicle,84.07819271087646
vehicle,38.242319226264954
vehicle,61.49859428405762
vehicle,62.61276602745056
vehicle,80.45165538787842
vehicle,81.9803774356842
vehicle,84.06883478164673
vehicle,38.43244016170502
vehicle,61.49413585662842
vehicle,62.607258558273315
vehicle,80.4691731929779
vehicle,81.96632266044617
vehicle,84.03172492980957
vehicle,84.70767736434937
vehicle,48.308777809143066
vehicle,81.19487166404724
vehicle,84.92934703826904
vehicle,84.60693955421448
vehicle,47.05760478973389
vehicle,81.18269443511963
vehicle,84.98694896697998
vehicle,84.61955189704895
vehicle,47.448793053627014
vehicle,81.19659423828125
vehicle,84.97404456138611
vehicle,42.50737130641937
vehicle,82.13327527046204
vehicle,81.54914379119873
vehicle,80.64624071121216
vehicle,39.87375199794769
vehicle,82.13005065917969
vehicle,81.52186274528503
vehicle,80.54059147834778
vehicle,76.42689943313599
vehicle,73.11606407165527
vehicle,34.222984313964844
vehicle,80.47657012939453
vehicle,84.47366952896118
vehicle,76.35030746459961
vehicle,72.08937406539917
vehicle,80.669504404068
vehicle,84.31752324104309
vehicle,76.29072666168213
vehicle,72.12817072868347
vehicle,80.6603729724884
vehicle,84.29154753684998
vehicle,79.42731976509094
vehicle,70.77572345733643
vehicle,71.93345427513123
vehicle,82.61338472366333
vehicle,79.3702244758606
vehicle,70.81846594810486
vehicle,75.08125901222229
vehicle,82.85984396934509
vehicle,79.38264608383179
vehicle,70.81978917121887
vehicle,75.50513744354248
vehicle,82.84655809402466
vehicle,45.60295641422272
vehicle,79.33934330940247
vehicle,74.76489543914795
vehicle,68.55930089950562
vehicle,79.16433811187744
vehicle,46.00832760334015
vehicle,45.60711085796356
vehicle,79.39090728759766
vehicle,74.75124001502991
vehicle,68.54740977287292
vehicle,79.18552756309509
vehicle,45.17106115818024
vehicle,74.2979645729065
vehicle,76.6638696193695
vehicle,78.35420370101929
vehicle,74.1131842136383
vehicle,76.65597796440125
vehicle,78.2658576965332
vehicle,74.20209646224976
